session,scan_idx,readout_id,task_index,unit_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
6,2,3512,29132,3801,728.6,403.47,291.95,LM,3,0.597488,all_model_readouts_v1,,,,unassigned,False,False,
8,5,4316,3032,4543,1049.77,321.41,240.12,RL,4,0.746122,all_model_readouts_v1,8.64691135969735e+17,root_864691135969735013,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
7,5,7979,10294,8791,995.32,256.36,502.21,RL,8,0.806985,all_model_readouts_v1,8.646911362103448e+17,root_864691136210344892,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
5,6,7078,63712,7724,727.46,253.38,581.9,LM,7,0.73549,all_model_readouts_v1,,,,unassigned,False,False,
6,6,5218,43430,5628,392.72,297.23,406.06,LM,5,0.771452,all_model_readouts_v1,,,,unassigned,False,False,
6,4,4655,14250,5046,999.19,88.79,270.61,AL,4,0.508653,all_model_readouts_v1,8.646911364874445e+17,root_864691136487444498,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
5,6,5012,10012,5457,859.72,76.87,306.55,AL,4,0.50751,all_model_readouts_v1,8.646911356878008e+17,root_864691135687800800,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
4,7,3082,39786,3524,938.71,316.22,239.72,RL,4,0.574252,all_model_readouts_v1,8.646911354635665e+17,root_864691135463566493,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
5,6,2520,54391,2752,395.8,175.07,310.52,LM,3,0.544099,all_model_readouts_v1,,,,unassigned,False,False,
6,2,5195,100580,5632,595.36,548.48,425.95,V1,5,0.515188,all_model_readouts_v1,,,,unassigned,False,False,
6,6,5799,11827,6255,1255.62,270.31,398.59,RL,6,0.537674,all_model_readouts_v1,8.646911365599679e+17,root_864691136559967906,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
8,5,72,11779,76,777.92,201.09,239.84,AL,1,0.337312,all_model_readouts_v1,,,,unassigned,False,False,
5,6,1195,29006,1264,498.56,108.5,178.63,LM,1,0.504029,all_model_readouts_v1,,,,unassigned,False,False,
9,6,1375,38876,1490,1121.82,349.53,199.69,RL,2,0.682493,all_model_readouts_v1,8.646911366632028e+17,root_864691136663202782,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,3,6846,5466,7444,905.11,425.76,340.83,RL,6,,all_model_readouts_v1,,,,unassigned,False,False,
6,2,6360,16577,6879,999.68,788.42,426.28,V1,6,0.541632,all_model_readouts_v1,8.646911358104566e+17,root_864691135810456605,L4c,L4,True,False,aibs_metamodel_mtypes_v661_v2
5,7,6783,7072,7476,965.63,192.16,432.37,AL,6,0.521669,all_model_readouts_v1,8.646911356935569e+17,root_864691135693556927,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
6,4,4059,53505,4404,741.7,953.6,279.9,V1,4,0.942145,all_model_readouts_v1,,,,unassigned,False,False,
6,4,7763,12555,8355,1040.73,428.04,543.9,RL,8,,all_model_readouts_v1,,,,unassigned,False,False,
5,7,7534,70088,8243,612.79,948.15,568.44,V1,7,0.351029,all_model_readouts_v1,,,,unassigned,False,False,
5,7,4070,30310,4464,941.18,638.29,300.49,V1,4,0.713631,all_model_readouts_v1,8.64691136116976e+17,root_864691136116976036,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
6,6,843,83331,914,470.09,1017.32,126.16,V1,1,0.58636,all_model_readouts_v1,,,,unassigned,False,False,
9,3,4701,45928,5079,1042.08,1161.63,333.61,V1,4,0.591471,all_model_readouts_v1,8.646911363912262e+17,root_864691136391226239,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
6,7,5435,5824,5982,1067.5,142.11,390.44,AL,6,0.577379,all_model_readouts_v1,8.646911352927576e+17,root_864691135292757686,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
6,2,7826,74275,8418,1125.44,710.4,558.05,V1,8,0.24955,all_model_readouts_v1,8.64691135772136e+17,root_864691135772135931,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
7,3,835,10937,909,733.24,157.31,215.69,AL,1,0.207751,all_model_readouts_v1,,,,unassigned,False,False,
5,7,4845,1268,5324,1054.57,347.46,297.88,RL,4,0.436469,all_model_readouts_v1,8.646911359696206e+17,root_864691135969620581,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6,6,4279,11682,4611,1153.78,247.44,262.54,RL,4,0.527786,all_model_readouts_v1,8.646911352078184e+17,root_864691135207818361,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
6,2,6606,5322,7148,1289.32,193.73,422.59,RL,6,0.561583,all_model_readouts_v1,8.64691136618049e+17,root_864691136618048987,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
6,4,3172,17151,3453,759.77,409.75,277.98,LM,3,0.796258,all_model_readouts_v1,,,,unassigned,False,False,
6,7,7685,4724,8396,858.17,403.36,527.28,RL,8,0.444973,all_model_readouts_v1,8.646911359405167e+17,root_864691135940516774,L5b,L5,True,False,aibs_metamodel_mtypes_v661_v2
6,2,3799,28905,4129,1103.02,297.36,285.54,RL,4,0.637914,all_model_readouts_v1,8.646911353743181e+17,root_864691135374318024,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
7,3,5046,72702,5485,761.97,574.75,346.43,V1,4,0.797652,all_model_readouts_v1,,,,unassigned,False,False,
9,3,7960,886,8642,905.77,187.52,339.61,AL,6,0.525272,all_model_readouts_v1,8.64691135359674e+17,root_864691135359673944,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
