task_index,session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
0,8,5,4455,4234,908.14,228.85,241.55,AL,4,0.490109,all_model_readouts_v1,8.646911357301441e+17,root_864691135730144185,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
1,9,3,4380,4054,1088.36,159.03,326.67,AL,4,0.694506,all_model_readouts_v1,8.646911359187539e+17,root_864691135918753968,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
2,6,7,8041,7342,1019.8,146.54,526.86,AL,8,0.320357,all_model_readouts_v1,8.646911355845792e+17,root_864691135584579192,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
3,6,2,8668,8069,996.03,181.84,558.02,AL,8,,all_model_readouts_v1,,,,unassigned,False,False,
4,4,7,2736,2372,815.56,411.09,242.18,LM,4,0.0995573,all_model_readouts_v1,8.646911359192032e+17,root_864691135919203248,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
5,6,7,7119,6464,811.8,368.35,392.69,LM,6,0.689931,all_model_readouts_v1,8.64691135941145e+17,root_864691135941144948,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
6,6,4,7485,6927,845.65,310.33,410.63,LM,6,0.769271,all_model_readouts_v1,8.646911357859612e+17,root_864691135785961156,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
7,7,3,6576,6068,337.69,188.47,423.96,LM,5,0.668359,all_model_readouts_v1,,,,unassigned,False,False,
8,7,5,2200,1994,1274.1,103.23,191.69,RL,2,0.587537,all_model_readouts_v1,8.646911357545805e+17,root_864691135754580434,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,9,3,8417,7758,973.61,349.37,340.16,RL,6,0.726797,all_model_readouts_v1,8.646911362102337e+17,root_864691136210233788,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
10,6,7,7018,6370,1048.52,296.62,391.99,RL,6,0.829174,all_model_readouts_v1,8.646911357373797e+17,root_864691135737379716,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
11,7,5,1528,1383,1001.12,280.62,192.99,RL,2,,all_model_readouts_v1,,,,unassigned,False,False,
12,8,5,1818,1728,1111.24,607.17,228.9,V1,2,0.59176,all_model_readouts_v1,8.646911355695357e+17,root_864691135569535724,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
13,6,7,6339,5762,936.15,705.16,396.09,V1,6,0.0502983,all_model_readouts_v1,8.646911351355453e+17,root_864691135135545369,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
14,4,7,8195,7310,1112.75,536.06,505.06,V1,8,0.710818,all_model_readouts_v1,8.646911357774514e+17,root_864691135777451360,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
15,5,6,3390,3120,529.32,1021.19,311.18,V1,3,0.806476,all_model_readouts_v1,,,,unassigned,False,False,
16,5,6,4203,3855,824.82,196.15,307.86,AL,4,0.536635,all_model_readouts_v1,8.646911360324686e+17,root_864691136032468667,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
17,9,3,8025,7388,1133.42,181.87,338.65,AL,6,0.80062,all_model_readouts_v1,8.64691135491289e+17,root_864691135491288935,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
18,8,5,10358,9733,1011.25,166.03,506.93,AL,8,0.42138,all_model_readouts_v1,8.646911354766276e+17,root_864691135476627624,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
19,5,7,8848,8123,1014.73,100.62,564.9,AL,8,0.328389,all_model_readouts_v1,8.646911355614679e+17,root_864691135561467873,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
20,8,5,4580,4350,815.04,409.38,241.22,LM,4,0.538432,all_model_readouts_v1,8.646911359192032e+17,root_864691135919203248,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
21,9,3,7342,6749,834.53,338.34,340.68,LM,6,0.588012,all_model_readouts_v1,8.646911361366158e+17,root_864691136136615805,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
22,7,5,8628,7828,802.57,383.19,502.45,LM,8,0.459459,all_model_readouts_v1,8.646911369253536e+17,root_864691136925353546,L5b,L5,True,False,aibs_metamodel_mtypes_v661_v2
23,5,6,97,90,329.06,313.42,175.1,LM,1,0.571974,all_model_readouts_v1,,,,unassigned,False,False,
24,5,6,2596,2384,1047.05,251.36,168.92,RL,2,0.535679,all_model_readouts_v1,8.646911357409568e+17,root_864691135740956779,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
25,5,6,4353,3994,1178.85,398.27,306.03,RL,4,0.852973,all_model_readouts_v1,8.646911348851292e+17,root_864691134885129210,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
26,4,7,8263,7372,1128.48,498.45,504.83,RL,8,0.549779,all_model_readouts_v1,8.646911366172273e+17,root_864691136617227227,L5NP,L5,True,True,aibs_metamodel_mtypes_v661_v2
27,5,6,8638,7983,845.37,367.33,569.77,RL,8,,all_model_readouts_v1,,,,unassigned,False,False,
28,6,7,1253,1113,1141.29,985.0,122.15,V1,2,0.577758,all_model_readouts_v1,8.646911364257357e+17,root_864691136425735727,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
29,7,3,4826,4454,975.84,915.38,348.89,V1,4,0.571533,all_model_readouts_v1,8.64691136007401e+17,root_864691136007400906,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
30,6,4,6752,6242,1134.17,707.04,412.49,V1,6,0.848741,all_model_readouts_v1,8.646911360401987e+17,root_864691136040198654,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
31,8,5,418,401,692.93,652.22,236.91,V1,1,0.856797,all_model_readouts_v1,,,,unassigned,False,False,
32,4,7,2645,2292,910.67,221.85,239.92,AL,4,0.656991,all_model_readouts_v1,8.646911357301441e+17,root_864691135730144185,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
33,8,5,8604,8095,974.26,158.02,371.76,AL,6,0.661362,all_model_readouts_v1,8.646911357781257e+17,root_864691135778125757,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
34,7,3,8947,8292,1017.19,208.84,487.93,AL,8,0.330343,all_model_readouts_v1,8.646911360403494e+17,root_864691136040349438,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
35,6,2,2561,2348,712.3,119.13,291.95,AL,3,0.826,all_model_readouts_v1,,,,unassigned,False,False,
36,6,2,4142,3811,823.96,344.46,289.09,LM,4,0.647694,all_model_readouts_v1,8.646911369038765e+17,root_864691136903876530,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
