condition,brain_area,n,median_seed42,median_seed1042
contrast,V1,16,0.8345180850412952,0.8333324797944761
contrast,LM,16,0.7993047526434578,0.7946290689217482
contrast,AL,16,0.8722194061866447,0.8763959676695603
contrast,RL,16,0.8819576491651366,0.8887090730404699
rotation,V1,16,0.5229144413111073,0.5195476994513886
rotation,LM,16,0.5962439344564148,0.6055152263947109
rotation,AL,16,0.5374070993432691,0.5289538334346976
rotation,RL,16,0.5047611114273634,0.5086735665850695
translation,V1,16,0.41217075056747576,0.40767183795420014
translation,LM,16,0.4847833636213027,0.48324200018605357
translation,AL,16,0.48657901696167116,0.487482163095309
translation,RL,16,0.43311266336289755,0.4302245775119867
temporal_reverse,V1,16,0.6653276041856833,0.6870138316832803
temporal_reverse,LM,16,0.702258255369959,0.6798360034808983
temporal_reverse,AL,16,0.6949553771785736,0.7050265701865277
temporal_reverse,RL,16,0.6183336078909474,0.6393166021697181
speed_up,V1,16,0.7776287744261059,0.7917431349784103
speed_up,LM,16,0.8284851756969135,0.8186052921659573
speed_up,AL,16,0.8148257286069124,0.807328468461632
speed_up,RL,16,0.8439707161470318,0.8394676729463768
slow_down,V1,16,0.9306325890239897,0.9317348270975538
slow_down,LM,16,1.0000600253381067,0.9794564378762096
slow_down,AL,16,0.8688446213860018,0.8556570534020393
slow_down,RL,16,0.8386400787193973,0.8531552796482784
