session,scan_idx,readout_id,brain_area,pixel_rmse,pixel_mae,pixel_pearson
5,7,3778,AL,0.023274368645234605,0.007261534783541871,0.9023706644831002
9,4,5189,AL,0.01093182285029852,0.003778913870276786,0.9657766323614713
9,4,6570,AL,0.010924129896162624,0.0038542374967383457,0.9674079179086653
9,4,6572,AL,0.0104754665817313,0.003918146705469822,0.9652643903880341
5,6,3837,AL,0.011835708948926346,0.003650496290142066,0.9528422484296984
6,4,5969,AL,0.008511123566607865,0.0029420824527968997,0.9556818703535854
6,7,5413,AL,0.01932610568754601,0.005412782096782057,0.8518741750982416
7,5,5996,AL,0.005309205175733461,0.0024861653235988073,0.9889547695857616
5,6,8579,AL,0.015409687809090827,0.004512635391807231,0.9312738328584622
5,7,6010,AL,0.02060421942072935,0.005470702102781986,0.9062134665318123
7,3,6731,AL,0.029900109981515866,0.008328590738465714,0.5379819785104942
7,3,8520,AL,0.03118167497447929,0.009039818202833245,0.6916200531871679
5,6,8306,AL,0.014095895746335397,0.004708275989179566,0.9243780171777957
5,7,6719,AL,0.013854282511695916,0.003943587428969934,0.7329147950088316
5,7,7859,AL,0.013834653764749055,0.004746221431364743,0.9512449827468205
6,7,4108,AL,0.0034591778837646044,0.0018382813170117313,0.9805446590319071
6,2,1235,LM,0.016591873973138604,0.005070956818471368,0.9244124768715171
6,7,2972,LM,0.004618767210430917,0.0024482286384968407,0.9954310059153257
6,7,2973,LM,0.005927492177391063,0.002550808503177972,0.9916016380163472
9,6,4918,LM,0.009422291738129805,0.0034505739788814765,0.9669668532210828
4,7,4923,LM,0.008476249091717713,0.0028645726545080295,0.9792585147241194
6,4,6088,LM,0.004237512060307191,0.0021533929255653033,0.9948532341097004
7,5,6070,LM,0.008166938142561742,0.0028004808576457454,0.9865630377979839
7,5,6100,LM,0.004314760593796981,0.002162353620840602,0.9947009572343848
4,7,6872,LM,0.021906126971257243,0.007164917531813612,0.8909379558581859
4,7,6912,LM,0.005161627454480652,0.0023109035397198938,0.9945610997661991
5,6,6184,LM,0.012633594021525923,0.0044950509053470105,0.9626987190096526
5,7,6030,LM,0.009387021307660273,0.003195102157392453,0.9701575945670863
5,7,5659,LM,0.012520721145151481,0.004065138164110573,0.964136927490955
7,5,2362,LM,0.013407360967041038,0.004550696088066346,0.9347566871542088
8,5,117,LM,0.011854961709155069,0.004006819262873183,0.9638630881411308
9,3,5409,LM,0.0072719963834271244,0.0028535552835684806,0.9902997408176356
5,7,1336,RL,0.00569409759881073,0.002437069484733877,0.9914636123566833
6,6,1526,RL,0.03638404505319703,0.010858979714986264,0.5945899847312501
8,5,1597,RL,0.015439478983267953,0.00484251778226234,0.9508834456894389
8,5,2283,RL,0.008349450046026134,0.0032531622773940734,0.9908626373116115
5,6,3934,RL,0.012812362254742153,0.003997986215051065,0.9500429756541812
5,7,4851,RL,0.02078890831662075,0.0065150458945683765,0.9339481223510716
8,5,8169,RL,0.006485225568443581,0.0028796058232425517,0.9927980085580189
9,3,1533,RL,0.013617661118217207,0.0046759914844154045,0.9389274437323841
5,7,6639,RL,0.014504034383621155,0.004537315497812718,0.9287693494819382
6,7,6382,RL,0.011813590198714094,0.004173177061191516,0.9340241644277012
7,3,6763,RL,0.009707129986349023,0.003623165659942734,0.9787427942001968
8,5,8041,RL,0.015622569499686587,0.004990931130344136,0.9329469226495675
6,4,7791,RL,0.00562718589758462,0.0025635811040990155,0.9915477112617295
6,4,8018,RL,0.027087556319823815,0.006870053417407428,0.7626782079905815
7,5,7783,RL,0.013691252660980794,0.0034424519596187664,0.8651428796688606
9,3,6758,RL,0.006271722217324248,0.0024912697424008877,0.9863116261938075
7,5,2040,V1,0.007712949143210125,0.002843490049381385,0.988867235755616
8,5,1880,V1,0.00898042448642639,0.0034886311907097547,0.9743810057814545
9,4,4171,V1,0.025595529529710122,0.006210758470136516,0.8096041546128946
9,4,4985,V1,0.004598641057104617,0.0024370782914114966,0.992326435402132
4,7,5321,V1,0.010947117555962158,0.0034579744554388593,0.9667572903186671
5,6,4776,V1,0.005975553533231413,0.0024074108869542588,0.9869274496529863
6,4,4005,V1,0.007786540591584224,0.002819978420534931,0.9840228671191712
6,6,5866,V1,0.0046102503109395855,0.0022033522420045943,0.9958520907147246
4,7,7201,V1,0.00718111960929669,0.0025215861057884263,0.9905047271568685
6,2,6697,V1,0.02401833145986068,0.007351271133321309,0.8925609919986434
6,6,7701,V1,0.005263340353250046,0.002478289707828986,0.9905941807859889
7,3,8409,V1,0.009179569359434262,0.0027465500793032,0.959387657353118
6,7,523,V1,0.031117107741693108,0.008893247089576175,0.6994832141549268
7,3,7512,V1,0.0050074983743172855,0.0021826827515825345,0.9947846243860826
9,4,4886,V1,0.007449055029864099,0.0025413318845186983,0.9820088867330931
9,6,1085,V1,0.01346993689878728,0.003806077830081365,0.9680319801307972
