source_area,target_area,mean_response_r,n_source,n_target
V1,V1,0.945954787627,75497,75497
V1,LM,0.828328425678,75497,13283
V1,RL,0.650355626683,75497,11232
V1,AL,0.903982955332,75497,4159
LM,V1,0.883789724333,13283,75497
LM,LM,0.877155936983,13283,13283
LM,RL,0.665469482486,13283,11232
LM,AL,0.953053881082,13283,4159
RL,V1,0.776681915711,11232,75497
RL,LM,0.765248619123,11232,13283
RL,RL,0.788195608366,11232,11232
RL,AL,0.774885905576,11232,4159
AL,V1,0.875487261292,4159,75497
AL,LM,0.850351705444,4159,13283
AL,RL,0.672113350826,4159,11232
AL,AL,1.09063237345,4159,4159
