brain_area,speed_factor,mean_retention,median_retention,sd_retention,n_readouts
AL,0.5,0.702182787605433,0.6950445530782414,0.13618971729282195,4159
AL,0.67,0.8203321099380753,0.8182984518844468,0.10456058838848316,4159
AL,0.8,0.8893583768396851,0.8906200761307653,0.0755691841534019,4159
AL,1.25,0.9512233672102712,0.9552668056688096,0.04426026490582497,4159
AL,1.5,0.9054525508918797,0.9141838399207284,0.07899877927542426,4159
AL,2.0,0.8416905460127564,0.8537267733947943,0.12212788333978332,4159
LM,0.5,0.7579952738514993,0.7575115094193038,0.14896652371247537,13283
LM,0.67,0.8613563553142884,0.8644926969516616,0.11089942062498706,13283
LM,0.8,0.9183791316712212,0.9212581349192616,0.07827458425576762,13283
LM,1.25,0.950415342786403,0.9555556519830496,0.044551882515377186,13283
LM,1.5,0.8944947257394753,0.902621301722237,0.0799018031209092,13283
LM,2.0,0.8199682932999673,0.8302609301333141,0.12218772687476047,13283
RL,0.5,0.7069967268919376,0.7004838292054258,0.14823934790025617,11232
RL,0.67,0.8171094768474157,0.8172257860932025,0.11321178695982102,11232
RL,0.8,0.8848362987459953,0.8864896356599907,0.08197822976559631,11232
RL,1.25,0.9540056022065885,0.9589238326719784,0.04356668231564897,11232
RL,1.5,0.9114056972972039,0.918423582141501,0.07728036988469072,11232
RL,2.0,0.8533610986544363,0.8635053818404981,0.12011934209693383,11232
V1,0.5,0.8307468105234332,0.8299878152856391,0.14769272193159858,75497
V1,0.67,0.9161421516877313,0.917340334551567,0.10878446368381778,75497
V1,0.8,0.9571635407609068,0.9586389066163498,0.07617451300434705,75497
V1,1.25,0.9462722031388616,0.9507632256901618,0.04478495038771769,75497
V1,1.5,0.8750008238972052,0.8827984351142854,0.08168485411380477,75497
V1,2.0,0.7836970745965776,0.7921581256836666,0.12646054862492942,75497
