transformation,contrast,left_area,right_area,left_median,right_median,median_difference,ci_low,ci_high,p_value,bootstrap_p_value,n_left,n_right,bootstrap_replicates,seed,p_value_holm,significant,direction
contrast,V1-LM,V1,LM,0.8282509799740139,0.843133988843641,-0.014883008869627123,-0.017950365472948503,-0.011165457154423571,8.89871101193968e-34,0.0001999600079984003,75497,13283,5000,20260926,9.788582113133648e-33,True,right_greater
contrast,LM-RL,LM,RL,0.843133988843641,0.8659802748662109,-0.022846286022569884,-0.027366408368996613,-0.018694283070082612,1.1780718095522308e-38,0.0001999600079984003,13283,11232,5000,20260926,1.5314933524179e-37,True,right_greater
contrast,RL-AL,RL,AL,0.8659802748662109,0.877781535572318,-0.011801260706107097,-0.018261804193888516,-0.006758875687035532,9.08275978289512e-05,0.0001999600079984003,11232,4159,5000,20260926,0.0006357931848026584,True,right_greater
rotation,V1-LM,V1,LM,0.7089995030144178,0.7138615237952401,-0.004862020780822318,-0.007319496936605219,-0.001911042067681708,0.00011467409733964171,0.002599480103979204,75497,13283,5000,20260926,0.0006880445840378503,True,right_greater
rotation,LM-RL,LM,RL,0.7138615237952401,0.7167612879578563,-0.0028997641626161696,-0.006885229653537553,0.0006494240942476201,0.00038941146299763,0.10897820435912818,13283,11232,5000,20260926,0.00155764585199052,True,right_greater
rotation,RL-AL,RL,AL,0.7167612879578563,0.7333982171704887,-0.01663692921263238,-0.021115210717404017,-0.011381320991309599,8.334824902121618e-13,0.0001999600079984003,11232,4159,5000,20260926,7.501342411909457e-12,True,right_greater
translation,V1-LM,V1,LM,0.4255148580204922,0.4864353247519637,-0.0609204667314715,-0.06403699850203104,-0.05749683167888935,0.0,0.0001999600079984003,75497,13283,5000,20260926,0.0,True,right_greater
translation,LM-RL,LM,RL,0.4864353247519637,0.5093020156857926,-0.02286669093382887,-0.027672990311058895,-0.018301125651510597,3.733292023676742e-37,0.0001999600079984003,13283,11232,5000,20260926,4.47995042841209e-36,True,right_greater
translation,RL-AL,RL,AL,0.5093020156857926,0.5054269885486657,0.0038750271371268408,-0.002731864375503084,0.01088736724678121,0.2687630560507147,0.2549490101979604,11232,4159,5000,20260926,0.2687630560507147,False,left_greater
temporal_reverse,V1-LM,V1,LM,0.6930686295741096,0.6880295987493487,0.005039030824760982,0.0023170233543077404,0.007818001238242502,0.008231559217754779,0.0013997200559888023,75497,13283,5000,20260926,0.024694677653264337,True,left_greater
temporal_reverse,LM-RL,LM,RL,0.6880295987493487,0.7022292880787591,-0.014199689329410403,-0.01797719790064637,-0.010851661116227188,5.052514734334573e-20,0.0001999600079984003,13283,11232,5000,20260926,5.0525147343345725e-19,True,right_greater
temporal_reverse,RL-AL,RL,AL,0.7022292880787591,0.6901348130422187,0.012094475036540375,0.007628610935203156,0.017610310166467195,4.5856480032515105e-09,0.0001999600079984003,11232,4159,5000,20260926,3.6685184026012084e-08,True,left_greater
speed_up,V1-LM,V1,LM,0.8829170076441719,0.90288939142973,-0.0199723837855581,-0.021715884500997984,-0.018315693845563166,1.0251917025137852e-146,0.0001999600079984003,75497,13283,5000,20260926,1.5377875537706777e-145,True,right_greater
speed_up,LM-RL,LM,RL,0.90288939142973,0.919214546266086,-0.016325154836355993,-0.018743123208488095,-0.013756720978030204,1.058512923432236e-62,0.0001999600079984003,13283,11232,5000,20260926,1.4819180928051305e-61,True,right_greater
speed_up,RL-AL,RL,AL,0.919214546266086,0.9150568786813456,0.004157667584740454,0.0004593451219570444,0.007774923278561357,0.00017280739498645332,0.03059388122375525,11232,4159,5000,20260926,0.0008640369749322666,True,left_greater
slow_down,V1-LM,V1,LM,0.917340334551567,0.8644926969516616,0.052847637599905406,0.05039332529901133,0.05551536570828835,0.0,0.0001999600079984003,75497,13283,5000,20260926,0.0,True,left_greater
slow_down,LM-RL,LM,RL,0.8644926969516616,0.8172257860932025,0.04726691085845913,0.043871157907691964,0.05135584504218954,4.4829240518958755e-208,0.0001999600079984003,13283,11232,5000,20260926,7.172678483033401e-207,True,left_greater
slow_down,RL-AL,RL,AL,0.8172257860932025,0.8182984518844468,-0.0010726657912443205,-0.006212026492589525,0.003264312251301038,0.12352864608167166,0.5796840631873625,11232,4159,5000,20260926,0.24705729216334332,False,right_greater
