brain_area,layer,condition,parameter,median_retention,n
AL,L23,contrast,0.25,0.0798654640837467,1673
AL,L23,contrast,0.5,0.3372651784452273,1673
AL,L23,contrast,0.75,0.7267126110979886,1673
AL,L23,contrast,1.25,1.1060452400139305,1673
AL,L23,contrast,1.5,1.1054011044413714,1673
AL,L23,contrast,2.0,1.0206840933704424,1673
AL,L23,rotation,2.0,1.0008032110524674,1673
AL,L23,rotation,5.0,0.9669873387075671,1673
AL,L23,rotation,10.0,0.8663029928974886,1673
AL,L23,rotation,15.0,0.7379076442588637,1673
AL,L23,rotation,30.0,0.3808374894822546,1673
AL,L23,rotation,60.0,0.1306353605747388,1673
AL,L23,rotation,90.0,0.0956075256424128,1673
AL,L23,slow_down,0.5,0.6660341152413982,1673
AL,L23,slow_down,0.67,0.7965897482264702,1673
AL,L23,slow_down,0.8,0.8743580470583987,1673
AL,L23,speed_up,1.25,0.9579043433320752,1673
AL,L23,speed_up,1.5,0.9202436234362456,1673
AL,L23,speed_up,2.0,0.8672539366684111,1673
AL,L23,temporal_reverse,-1.0,0.6996256070349998,1673
AL,L23,translation,1.0,0.9812787269865416,1673
AL,L23,translation,2.0,0.9348978473906988,1673
AL,L23,translation,4.0,0.8029285141137421,1673
AL,L23,translation,8.0,0.511419979076786,1673
AL,L23,translation,16.0,0.1796889278905924,1673
AL,L23,translation,32.0,0.060699717779916,1673
AL,L23,translation,48.0,0.0381689818621796,1673
AL,L4,contrast,0.25,0.0727987422150832,872
AL,L4,contrast,0.5,0.3391507088546454,872
AL,L4,contrast,0.75,0.7317922498932061,872
AL,L4,contrast,1.25,1.0979891783089606,872
AL,L4,contrast,1.5,1.1022265846075205,872
AL,L4,contrast,2.0,1.0042561832125578,872
AL,L4,rotation,2.0,1.0003090179069765,872
AL,L4,rotation,5.0,0.9635865401719347,872
AL,L4,rotation,10.0,0.8572270388338656,872
AL,L4,rotation,15.0,0.7230406863186122,872
AL,L4,rotation,30.0,0.36292401565210036,872
AL,L4,rotation,60.0,0.1121522743693977,872
AL,L4,rotation,90.0,0.07236483027658674,872
AL,L4,slow_down,0.5,0.7107951280573848,872
AL,L4,slow_down,0.67,0.8295065360297159,872
AL,L4,slow_down,0.8,0.8995772113450189,872
AL,L4,speed_up,1.25,0.9567837530417209,872
AL,L4,speed_up,1.5,0.9112026555013508,872
AL,L4,speed_up,2.0,0.8473581241731447,872
AL,L4,temporal_reverse,-1.0,0.675354099143074,872
AL,L4,translation,1.0,0.9800375888480828,872
AL,L4,translation,2.0,0.9315827646526095,872
AL,L4,translation,4.0,0.7943485200791602,872
AL,L4,translation,8.0,0.49031402833826987,872
AL,L4,translation,16.0,0.15899491492361195,872
