transformation,direction,V1_median,LM_median,RL_median,AL_median,compatible_bootstrap_count,compatible_probability,bootstrap_replicates,seed
contrast,increasing,0.8282509799740139,0.843133988843641,0.8659802748662109,0.877781535572318,5000,1.0,5000,20260927
contrast,decreasing,0.8282509799740139,0.843133988843641,0.8659802748662109,0.877781535572318,0,0.0,5000,20260927
rotation,increasing,0.7089995030144178,0.7138615237952401,0.7167612879578563,0.7333982171704887,4996,0.9992,5000,20260927
rotation,decreasing,0.7089995030144178,0.7138615237952401,0.7167612879578563,0.7333982171704887,0,0.0,5000,20260927
translation,increasing,0.4255148580204922,0.4864353247519637,0.5093020156857926,0.5054269885486657,671,0.1342,5000,20260927
translation,decreasing,0.4255148580204922,0.4864353247519637,0.5093020156857926,0.5054269885486657,0,0.0,5000,20260927
temporal_reverse,increasing,0.6930686295741096,0.6880295987493487,0.7022292880787591,0.6901348130422187,0,0.0,5000,20260927
temporal_reverse,decreasing,0.6930686295741096,0.6880295987493487,0.7022292880787591,0.6901348130422187,0,0.0,5000,20260927
speed_up,increasing,0.8829170076441719,0.90288939142973,0.919214546266086,0.9150568786813456,65,0.013,5000,20260927
speed_up,decreasing,0.8829170076441719,0.90288939142973,0.919214546266086,0.9150568786813456,0,0.0,5000,20260927
slow_down,increasing,0.917340334551567,0.8644926969516616,0.8172257860932025,0.8182984518844468,0,0.0,5000,20260927
slow_down,decreasing,0.917340334551567,0.8644926969516616,0.8172257860932025,0.8182984518844468,1433,0.2866,5000,20260927
