selection_half,test_half,condition,selected_parameter,area,n_test,rho,p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,p_fdr_bh
0,1,contrast,0.25,V1,37913,-0.6991071357143203,0.0,-0.7044281200821859,-0.6938163290622614,5000,0.0
0,1,contrast,0.25,LM,6681,-0.7683464717409233,0.0,-0.7786455312325045,-0.7578181439801898,5000,0.0
0,1,contrast,0.25,RL,5630,-0.8018620867675078,0.0,-0.8114293482255164,-0.7920587724115741,5000,0.0
0,1,contrast,0.25,AL,2072,-0.7377959942721332,0.0,-0.7570452556529096,-0.7179888685166519,5000,0.0
0,1,rotation,90.0,V1,37913,-0.4191295607310016,0.0,-0.427838715969159,-0.4104141170445152,5000,0.0
0,1,rotation,90.0,LM,6681,-0.499633213999483,0.0,-0.5184943429601384,-0.48021100468134836,5000,0.0
0,1,rotation,90.0,RL,5630,-0.5708784519931435,0.0,-0.5894481967713974,-0.5512384987109885,5000,0.0
0,1,rotation,90.0,AL,2072,-0.4662096148825225,2.6074620677771844e-112,-0.5013270313461465,-0.4295566763174027,5000,3.128954481332621e-112
0,1,translation,48.0,V1,37913,-0.8238853761540754,0.0,-0.8273642438086455,-0.8204622322291649,5000,0.0
0,1,translation,48.0,LM,6681,-0.8165964430866974,0.0,-0.8248720943992242,-0.8077615484486171,5000,0.0
0,1,translation,48.0,RL,5630,-0.8349549573413434,0.0,-0.8436635045180428,-0.8260819218532668,5000,0.0
0,1,translation,48.0,AL,2072,-0.7602893720896376,0.0,-0.7783774038317252,-0.7415392711190649,5000,0.0
0,1,temporal_reverse,-1.0,V1,37913,-0.2905234341915631,0.0,-0.2997484000717712,-0.2808284929188703,5000,0.0
0,1,temporal_reverse,-1.0,LM,6681,-0.40444544579992797,2.1155338084489627e-261,-0.42483769615958367,-0.38401559688200915,5000,3.275665251791942e-261
0,1,temporal_reverse,-1.0,RL,5630,-0.3957084256433324,2.037046676939395e-210,-0.4181861366361704,-0.37280016551073564,5000,2.9629769846391197e-210
0,1,temporal_reverse,-1.0,AL,2072,-0.45171063765554137,1.0215349942025811e-104,-0.48562739196504384,-0.4140945378936959,5000,1.1959434078469243e-104
0,1,speed_up,2.0,V1,37913,-0.259018357996009,0.0,-0.2681975790366075,-0.24926102467197508,5000,0.0
0,1,speed_up,2.0,LM,6681,-0.39503493434143633,2.1027754744340417e-248,-0.41611521611304886,-0.37390361634074054,5000,3.1541632116510625e-248
0,1,speed_up,2.0,RL,5630,-0.4694290063558406,1.3781744625000984e-306,-0.4893478435526678,-0.4482605326253486,5000,2.2050791400001576e-306
0,1,speed_up,2.0,AL,2072,-0.4201430869127074,2.090880067456642e-89,-0.4555526524142115,-0.38415516415265677,5000,2.2809600735890642e-89
0,1,slow_down,0.5,V1,37913,-0.22064958270471555,0.0,-0.23020781018868344,-0.21095210563616917,5000,0.0
0,1,slow_down,0.5,LM,6681,-0.281137794487836,1.331573519230061e-121,-0.30307505473570817,-0.25852807720475285,5000,1.681987603237972e-121
0,1,slow_down,0.5,RL,5630,-0.15726097550405815,1.671982822712184e-32,-0.18255419869382997,-0.13187469853586473,5000,1.671982822712184e-32
0,1,slow_down,0.5,AL,2072,-0.3211972063851892,6.187132383082648e-51,-0.36021885848650137,-0.2813623243139554,5000,6.599607875288158e-51
1,0,contrast,0.25,V1,37584,-0.6974486335486709,0.0,-0.7030279238644067,-0.6920451955939185,5000,0.0
1,0,contrast,0.25,LM,6602,-0.750028736646088,0.0,-0.7608218802787088,-0.7388428265091055,5000,0.0
1,0,contrast,0.25,RL,5602,-0.7957649469620325,0.0,-0.8055370673983788,-0.785743268080581,5000,0.0
1,0,contrast,0.25,AL,2087,-0.7537350020897791,0.0,-0.7717235295573334,-0.7342216091170887,5000,0.0
1,0,rotation,90.0,V1,37584,-0.42484139538705257,0.0,-0.43346330281938056,-0.41590481998717765,5000,0.0
1,0,rotation,90.0,LM,6602,-0.4931354499826087,0.0,-0.511570454709499,-0.47362896656022435,5000,0.0
1,0,rotation,90.0,RL,5602,-0.590251464282576,0.0,-0.6085635899403731,-0.5715249784484118,5000,0.0
1,0,rotation,90.0,AL,2087,-0.52468287810016,5.518242014466426e-148,-0.5570489352152949,-0.49103234498050125,5000,7.158800451199687e-148
1,0,translation,48.0,V1,37584,-0.8238128521362998,0.0,-0.8272513078286726,-0.8203198584514906,5000,0.0
1,0,translation,48.0,LM,6602,-0.8090629847840309,0.0,-0.817867388810518,-0.7994904972710107,5000,0.0
1,0,translation,48.0,RL,5602,-0.8332960738242033,0.0,-0.8418476024325645,-0.8245235412482165,5000,0.0
1,0,translation,48.0,AL,2087,-0.7820975031707608,0.0,-0.7992081880545746,-0.7635807032551126,5000,0.0
1,0,temporal_reverse,-1.0,V1,37584,-0.2909930719480006,0.0,-0.30029005053631735,-0.2816005806368734,5000,0.0
1,0,temporal_reverse,-1.0,LM,6602,-0.3498420024195787,2.2075172967437807e-189,-0.3712548312334144,-0.32778075902583204,5000,2.9433563956583743e-189
1,0,temporal_reverse,-1.0,RL,5602,-0.39462532383029103,3.8041102847159433e-208,-0.4170881976200722,-0.3722231355033085,5000,5.3705086372460376e-208
1,0,temporal_reverse,-1.0,AL,2087,-0.44736261105768743,3.066970586020153e-103,-0.4809182473544716,-0.41185036797148794,5000,3.4235950727666826e-103
1,0,speed_up,2.0,V1,37584,-0.25745795135885013,0.0,-0.2671330110617038,-0.2480992061204193,5000,0.0
1,0,speed_up,2.0,LM,6602,-0.3645554253941195,1.1407398390309196e-206,-0.3855231306256273,-0.3429595297703911,5000,1.5644432078138327e-206
1,0,speed_up,2.0,RL,5602,-0.47220315400643814,3.716417582149925e-309,-0.4928957921975165,-0.4516566663843965,5000,6.15131186011022e-309
1,0,speed_up,2.0,AL,2087,-0.4476035742075597,2.3141574733499045e-103,-0.4815000309928087,-0.41102423368174895,5000,2.6447513981141767e-103
1,0,slow_down,0.5,V1,37584,-0.2194563240709446,0.0,-0.2289431314147642,-0.20934078628861263,5000,0.0
1,0,slow_down,0.5,LM,6602,-0.2764883418699958,3.7632065583153076e-116,-0.2985384575753573,-0.25375520125090983,5000,4.6316388410034553e-116
1,0,slow_down,0.5,RL,5602,-0.18083078355903948,2.1872707751665514e-42,-0.20680434221203323,-0.15519064382249861,5000,2.233808451233925e-42
1,0,slow_down,0.5,AL,2087,-0.30242793313912647,2.1479386793820116e-45,-0.33977207071705406,-0.2631452064867943,5000,2.241327317616012e-45
