filter,family,brain_area,n_area,n_v1,contrast_vs_v1,ci_low,ci_high,bootstrap_replicates
all,contrast,LM,13283,75497,0.014883008869627123,0.011098833524455547,0.01796845654300129,5000
all,contrast,RL,11232,75497,0.03772929489219701,0.034176541501169985,0.04118513149923807,5000
all,contrast,AL,4159,75497,0.049530555598304105,0.04474941682185053,0.05527715549623085,5000
all,rotation,LM,13283,75497,0.004862020780822318,0.0019652835603161003,0.00741248193388952,5000
all,rotation,RL,11232,75497,0.007761784943438488,0.004800573471603858,0.010570301624185548,5000
all,rotation,AL,4159,75497,0.024398714156070866,0.019629489964552695,0.0285010099057126,5000
all,translation,LM,13283,75497,0.0609204667314715,0.057359798834699355,0.06384731508339038,5000
all,translation,RL,11232,75497,0.08378715766530037,0.08013790840532369,0.08761548393790368,5000
all,translation,AL,4159,75497,0.07991213052817353,0.07390922020288826,0.08553691783461219,5000
all,temporal_reverse,LM,13283,75497,-0.005039030824760982,-0.00794867087402847,-0.0023857297119191986,5000
all,temporal_reverse,RL,11232,75497,0.009160658504649422,0.0064553316841585995,0.011947845905831964,5000
all,temporal_reverse,AL,4159,75497,-0.0029338165318909537,-0.007602460255321519,0.0010169251116267828,5000
all,speed_up,LM,13283,75497,0.0199723837855581,0.01836894967719296,0.021672598483085,5000
all,speed_up,RL,11232,75497,0.036297538621914094,0.03423800745984218,0.03823321559290706,5000
all,speed_up,AL,4159,75497,0.03213987103717364,0.02904904124360356,0.03523779672441839,5000
all,slow_down,LM,13283,75497,-0.052847637599905406,-0.055374690375711216,-0.05039475148998644,5000
all,slow_down,RL,11232,75497,-0.10011454845836454,-0.1035433216121533,-0.09742337384421858,5000
all,slow_down,AL,4159,75497,-0.09904188266712022,-0.10281598524957634,-0.0951322921373176,5000
original_ge_q05,contrast,LM,12323,72908,0.010829368937193218,0.00771104012913397,0.014596952846176982,5000
original_ge_q05,contrast,RL,9871,72908,0.023751680715391466,0.01938522969518399,0.028453497471291774,5000
original_ge_q05,contrast,AL,3861,72908,0.046406227395305644,0.040599318123873906,0.05206058484074413,5000
original_ge_q05,rotation,LM,12323,72908,-0.0002679246577077521,-0.0032168560073493778,0.002670929642151658,5000
original_ge_q05,rotation,RL,9871,72908,-0.0032680472567225838,-0.0064746951003835625,-0.000449630190127157,5000
original_ge_q05,rotation,AL,3861,72908,0.0205791936109333,0.015917267018695967,0.02502433214423891,5000
original_ge_q05,translation,LM,12323,72908,0.056148210391618714,0.052846237368134895,0.05945768368503624,5000
original_ge_q05,translation,RL,9871,72908,0.07235347739932335,0.06836152912366879,0.07596362975365827,5000
original_ge_q05,translation,AL,3861,72908,0.07456790024688131,0.06896919088780931,0.08063498290617324,5000
original_ge_q05,temporal_reverse,LM,12323,72908,-0.00920880284371739,-0.011649022885747911,-0.0065650141509612575,5000
original_ge_q05,temporal_reverse,RL,9871,72908,0.00013963407248684945,-0.0030741388794977677,0.002806828748359973,5000
original_ge_q05,temporal_reverse,AL,3861,72908,-0.00850406072848553,-0.013947273220047091,-0.0033019465684471067,5000
