task_index,session,scan_idx,unit_id,readout_id,brain_area,original_response,selectivity_full,selectivity_leave_self_out
0,8,5,4455,4234,AL,6.4085255,0.1750656866317975,0.1743277792658027
1,9,3,4380,4054,AL,14.819725,0.23713807494864442,0.23008344779075673
2,6,7,8041,7342,AL,6.486708,0.33894847342781864,0.33590408820552
3,6,2,8668,8069,AL,56.923286,0.2817506242052682,0.26516375745671916
4,4,7,2736,2372,LM,19.788568,0.32285313663015297,0.32111261416639303
5,6,7,7119,6464,LM,7.453541,0.21067106503849095,0.20929184494122313
6,6,4,7485,6927,LM,404.90598,0.6051920027742623,0.5072137273070809
7,7,3,6576,6068,LM,14.330238,0.4363361570254727,0.4335064692965246
8,7,5,2200,1994,RL,9.25675,0.24976654490667954,0.24265589207069216
9,9,3,8417,7758,RL,73.53082,0.5097595190859929,0.49998317438942663
10,6,7,7018,6370,RL,54.09494,0.5295297805735639,0.5073745606981388
11,7,5,1528,1383,RL,43.42665,0.4738990745559889,0.44951141457419225
12,8,5,1818,1728,V1,4.6477265,0.2642422007572607,0.26411400982725775
13,6,7,6339,5762,V1,11.353744,0.3406457450220038,0.3403845068510493
14,4,7,8195,7310,V1,23.893919,0.528383150348041,0.5274254796588053
15,5,6,3390,3120,V1,18.902119,0.4280501956034178,0.4262703329215906
16,5,6,4203,3855,AL,13.046432,0.4836370873239192,0.46598246582582126
17,9,3,8025,7388,AL,14.039019,0.26077860956166043,0.22353483081191955
18,8,5,10358,9733,AL,23.608522,0.5282901379848464,0.5219288199609268
19,5,7,8848,8123,AL,33.94319,0.5227756489202996,0.5151355792928686
20,8,5,4580,4350,LM,22.777094,0.3209003566754195,0.3189144893560974
21,9,3,7342,6749,LM,33.24965,0.190804647674975,0.17900715668839692
22,7,5,8628,7828,LM,6.5965405,0.4015548724217819,0.400831876599394
23,5,6,97,90,LM,2.8659735,0.3627872177599146,0.3621937622177325
24,5,6,2596,2384,RL,9.393998,0.24666659951974113,0.24458458987004172
25,5,6,4353,3994,RL,24.642187,0.4214421379482965,0.35612841395772615
26,4,7,8263,7372,RL,8.510227,0.4339341503858499,0.4312607191126614
27,5,6,8638,7983,RL,4.7140136,0.33351128017523035,0.3304443983111862
28,6,7,1253,1113,V1,5.7329755,0.33503106305483865,0.33490632145372456
29,7,3,4826,4454,V1,29.817171,0.5679959395794061,0.5631818095326449
30,6,4,6752,6242,V1,37.81862,0.2567276639429935,0.25611856627808943
31,8,5,418,401,V1,65.30775,0.5042286787337945,0.5013053193589895
32,4,7,2645,2292,AL,3.3095016,0.11548246304128154,0.11527605754414572
33,8,5,8604,8095,AL,167.01222,0.6161780862396841,0.5947253743959796
34,7,3,8947,8292,AL,3.1289186,0.16936496959383793,0.1680084131056586
35,6,2,2561,2348,AL,10.142411,0.1830634480316364,0.1827285863021841
36,6,2,4142,3811,LM,11.5442295,0.1503299368288502,0.14959126933857875
37,6,6,7197,6660,LM,10.735852,0.19317256151897144,0.19198823523227626
38,4,7,7716,6871,LM,47.02804,0.4562193227413621,0.45049451203143187
39,6,6,3478,3224,LM,32.28693,0.3895278627480958,0.36715127420412663
40,6,4,1307,1198,RL,10.190673,0.20026222606216015,0.1959793647303592
41,9,3,7277,6690,RL,3.7018843,0.17404931920190464,0.17246201151658355
42,6,6,7291,6743,RL,58.80162,0.5374794464050644,0.5214727694371304
43,5,6,8645,7990,RL,3.0556302,0.2946470654930632,0.2942831587505261
44,6,4,4818,4440,V1,67.89909,0.5313126320625057,0.5163345101147234
45,8,5,8500,7998,V1,23.104675,0.6455442791308613,0.6394248140903148
46,7,3,7405,6850,V1,5.0945773,0.2090175368909272,0.20885205466588852
47,8,5,10176,9571,V1,12.562944,0.30178605379584716,0.3015711329481139
48,9,4,7082,6605,AL,4.8283105,0.23960371668707295,0.23769389817198308
49,9,3,7296,6708,AL,10.563663,0.28198180523240324,0.281059157585303
50,7,3,8507,7877,AL,11.892242,0.3018899041660161,0.2989171410256549
51,6,4,3831,3521,AL,14.077345,0.24784762655686565,0.24561379444099102
52,9,6,4267,3961,LM,10.916555,0.19022744388768195,0.1897413811318809
53,4,7,6203,5506,LM,44.549816,0.27487209732113427,0.2703016353619109
54,5,6,6751,6184,LM,47.784603,0.46040001606780756,0.4506484563850577
55,6,4,3606,3321,LM,389.2094,0.6113093322198234,0.5709166146652902
56,6,2,1955,1791,RL,20.614971,0.2919223390029236,0.28721138509254046
57,9,3,2566,2394,RL,4.062947,0.20865962398230614,0.20811695324010876
58,7,5,8653,7852,RL,1.429564,0.16590337218204126,0.16528817115229236
59,4,7,6211,5513,RL,24.988184,0.4827047252673012,0.4681253728665022
60,9,4,7624,7116,V1,25.262075,0.45782833847634163,0.45570445552748656
61,6,2,7076,6545,V1,55.081985,0.5633677496079287,0.5610549750922004
62,7,5,8863,8041,V1,7.846693,0.4543951348911573,0.45414656575324996
63,5,7,6111,5556,V1,13.896073,0.5239754912917818,0.5237982974945268
64,6,4,1199,1099,AL,25.323864,0.33484352258305816,0.32884883486143707
65,5,6,5121,4707,AL,10.393281,0.2509572990037767,0.24273534421041548
66,7,3,6689,6162,AL,25.717644,0.335797282204949,0.3116879449841524
67,7,5,7519,6796,AL,9.645802,0.3887925445458239,0.36113194170589347
68,8,5,4581,4351,LM,10.561562,0.22288407919831593,0.22257972515411906
69,7,5,6794,6133,LM,3.7258413,0.1842390453523346,0.18385324272710504
70,5,6,6752,6185,LM,8.747885,0.23083389835535428,0.2304920213490907
71,8,5,8842,8304,LM,7.137337,0.30129683392383644,0.2997047633651771
72,9,6,2590,2424,RL,5.661395,0.11814108358739334,0.11765726592716443
73,4,7,6362,5637,RL,7.443019,0.2870113708126128,0.2842208774288746
74,6,6,6914,6400,RL,17.82532,0.3315557001327403,0.3125940786700812
75,6,4,3846,3535,RL,10.688214,0.4153279832629405,0.41155314056240316
76,6,7,3753,3409,V1,172.57245,0.5274351135486839,0.5252671760465604
77,7,3,4593,4235,V1,16.286203,0.4542342561846358,0.45289411873265123
78,8,5,9892,9301,V1,293.75317,0.6220956050743989,0.6195083364048155
79,5,7,6239,5667,V1,23.020819,0.3716768627312439,0.3716191514908357
80,6,2,4052,3729,AL,10.84201,0.38471450018250664,0.3836754810258303
81,6,2,4051,3728,AL,29.722427,0.33497286960010114,0.32570330486361
82,5,6,7624,6987,AL,14.38811,0.3936168509927763,0.36415197349680994
83,7,3,4223,3891,AL,10.820152,0.33878990641683315,0.32781436225713867
84,6,2,2273,2092,LM,5.6201844,0.1442183922694733,0.14379929991525348
85,6,6,7327,6774,LM,31.348122,0.3438003628316321,0.33306185876295963
86,8,5,10522,9892,LM,29.311142,0.2542953752097103,0.2533186102109822
87,6,6,2217,2038,LM,73.806915,0.4366568690806009,0.4147972043462292
88,6,7,3926,3568,RL,50.903214,0.41347304168000276,0.38909322358088183
89,9,3,1647,1523,RL,19.16845,0.17906539585845963,0.17717369493812757
90,7,3,9146,8482,RL,3.1586316,0.10170880829810014,0.10154866328352699
91,4,7,8000,7132,RL,3.3748417,0.25894205471308973,0.25735213546949437
92,6,7,4051,3686,V1,28.002266,0.42438797591152966,0.4240791963078159
93,9,3,8332,7676,V1,20.536018,0.43328003546797283,0.4325019148359228
94,5,7,7133,6480,V1,8.38941,0.40230708989273917,0.40223238150888807
95,9,4,6589,6149,V1,16.439798,0.5023724174721844,0.49664836513557786
96,6,2,2275,2094,AL,28.624493,0.4104022398576118,0.4057233337639736
97,4,7,6707,5935,AL,8.077448,0.280456984218564,0.27694259430423973
98,7,3,6708,6180,AL,9.655403,0.33551696021904487,0.32839838667850885
99,6,7,1723,1535,AL,13.973088,0.22862566906959475,0.22685002372038693
100,5,6,1485,1381,LM,6.5048585,0.1291455180423604,0.12849148385451883
101,7,3,4302,3961,LM,47.953335,0.27746860160486414,0.267178624836238
102,5,6,6767,6200,LM,7.2990956,0.18979421963357784,0.18942835473891922
103,6,4,3631,3345,LM,12.874621,0.29324319750581396,0.2884556053728762
104,7,5,4192,3796,RL,1.4426811,0.23251941188517614,0.22720698829409366
105,7,3,4311,3970,RL,70.06758,0.486177011001935,0.4577337899158941
106,4,7,7726,6881,RL,48.32625,0.46046586912005427,0.43653983843072974
107,5,6,8966,8307,RL,47.267387,0.33517533862180915,0.2944503793215819
108,6,2,1499,1376,V1,22.011751,0.4624723703624257,0.46056001210521774
109,5,7,5115,4646,V1,98.50575,0.5062327039466792,0.5005501980611455
110,7,5,8679,7878,V1,44.56792,0.7205334631165179,0.72028893746678
111,9,4,166,155,V1,14.544491,0.2742183535144072,0.2740206265742615
112,5,7,1353,1249,AL,18.683187,0.3482144292814477,0.3439592263324559
113,5,6,5068,4655,AL,13.885004,0.29730452272749075,0.29467215822895004
114,6,7,8470,7759,AL,38.72583,0.38535085069001707,0.35115162924237986
115,7,3,6662,6136,AL,5.827732,0.2574226348087726,0.2564543242110957
116,5,7,2212,2017,LM,23.957409,0.5185562063685399,0.5083266893985569
117,4,7,5523,4905,LM,17.557991,0.32009866983394775,0.31561531623843275
118,6,7,8455,7744,LM,17.713425,0.2783858250607773,0.27504646029549035
119,6,4,2360,2146,LM,334.3837,0.7064236993740554,0.652260483016274
120,6,2,4075,3749,RL,72.43496,0.5464677982387597,0.5284581157179159
121,8,5,7538,7120,RL,6.1364336,0.34304874124179935,0.34045064637401057
122,7,3,7253,6703,RL,4.5006356,0.17036104110786765,0.1700574294599531
123,6,2,8317,7726,RL,4.6412263,0.12163022207295866,0.12082690238915997
124,6,2,4610,4258,V1,5.424378,0.4334955102207554,0.43150223723744086
125,9,3,2516,2345,V1,13.812548,0.46836040358660497,0.46809187433485583
126,7,3,8639,8005,V1,34.287716,0.25772819265121855,0.2572293533514583
127,6,4,2775,2539,V1,82.11778,0.680231961244717,0.6786361124692641
128,9,4,7056,6581,AL,6.1945996,0.10422167468399915,0.10377815336881387
129,6,2,8685,8086,AL,27.673637,0.27478718314583417,0.2708426091540853
130,6,2,7442,6872,AL,18.895048,0.42352245501701113,0.41967705287548807
131,6,4,8302,7710,AL,81.88469,0.44563787278057554,0.3633624719497426
132,6,7,3315,3002,LM,42.76482,0.3306506742057482,0.32276252643161096
133,6,7,7129,6472,LM,52.65761,0.47834102732070033,0.46940804044675716
134,6,4,7525,6958,LM,38.826332,0.2839430035212005,0.2805597207677457
135,9,3,118,112,LM,5.179862,0.11098412941933816,0.11072821709793962
136,5,7,4186,3813,RL,8.599599,0.16738988030314705,0.16486510115726322
137,9,3,4567,4230,RL,8.950726,0.3105626941412668,0.3086955070350076
138,5,6,7267,6657,RL,30.786924,0.38254942512155216,0.37056460685304027
139,6,7,8120,7420,RL,3.1492126,0.16963201108805717,0.1692607041658049
140,5,7,2278,2079,V1,62.581757,0.4574353691647223,0.45621400000469275
141,4,7,5749,5108,V1,10.714897,0.3210515138603129,0.32071714090947934
142,5,6,7596,6964,V1,16.468042,0.36303918976962335,0.360677289124704
143,4,7,1833,1550,V1,9.55698,0.4793522655505209,0.4792996660346817
144,5,6,2631,2415,AL,15.819249,0.3515994568287023,0.32651723213842443
145,5,7,4134,3766,AL,10.289285,0.2594457743923277,0.2558661252382217
146,5,7,7379,6702,AL,6.5123177,0.49747373326481864,0.49522454967319146
147,5,6,5355,4922,AL,19.373846,0.48082466146794256,0.4375346285694096
148,6,4,3944,3620,LM,20.735712,0.3081791941853776,0.30524033816855634
149,6,7,6143,5582,LM,8.80771,0.2775986991387689,0.27665735969045974
150,8,5,10418,9793,LM,32.2836,0.5075704157675569,0.5008703335173793
151,9,4,19,16,LM,4.2522283,0.17349045406749078,0.17332338542011627
152,6,4,3935,3612,RL,8.37544,0.2715094532426673,0.26949356248683404
153,9,3,8418,7759,RL,12.744159,0.2841572555417169,0.28054664477005525
154,6,7,6008,5457,RL,4.5544004,0.1762215089181508,0.17596441313856878
