area,condition,parameter,n,rho,p_value
AL,contrast,0.25,4159,-0.7458144536062904,0.0
AL,contrast,0.5,4159,-0.6055537477002972,0.0
AL,contrast,0.75,4159,-0.4209148768132297,2.758394506239052e-178
AL,contrast,1.25,4159,0.14227445132410266,2.98488612385351e-20
AL,contrast,1.5,4159,0.06612009887737223,1.9768095459181895e-05
AL,contrast,2.0,4159,-0.00358865941037136,0.8170313057569532
AL,rotation,2.0,4159,-0.02139269722823461,0.16778230793683652
AL,rotation,5.0,4159,-0.3314715201511907,3.212115241427793e-107
AL,rotation,10.0,4159,-0.3653986411921011,1.4595076001470974e-131
AL,rotation,15.0,4159,-0.3692073516836079,1.7386783406128186e-134
AL,rotation,30.0,4159,-0.3804545703755248,2.3530895920317903e-143
AL,rotation,60.0,4159,-0.4350740193791407,1.0744452510633784e-191
AL,rotation,90.0,4159,-0.49556379909529696,1.0279301020084129e-256
AL,slow_down,0.5,4159,-0.3116281243535391,2.414657628473163e-94
AL,slow_down,0.67,4159,-0.22980401137560308,5.674732518684814e-51
AL,slow_down,0.8,4159,-0.1803523571616863,9.632358281072018e-32
AL,speed_up,1.25,4159,-0.3534144977941563,1.283933878628779e-122
AL,speed_up,1.5,4159,-0.4020416754307112,2.1917516622332382e-161
AL,speed_up,2.0,4159,-0.4338768310381077,1.548635043179829e-190
AL,temporal_reverse,-1.0,4159,-0.44937568275810635,6.638536786616805e-206
AL,translation,1.0,4159,-0.39155331257399056,1.8626279388281847e-152
AL,translation,2.0,4159,-0.3772681836143605,8.317122249148909e-141
AL,translation,4.0,4159,-0.35270066169170516,4.2580008976784386e-122
AL,translation,8.0,4159,-0.36227521126385026,3.408843305376688e-129
AL,translation,16.0,4159,-0.48195810461078537,6.29583754818189e-241
AL,translation,32.0,4159,-0.7170830580349092,0.0
AL,translation,48.0,4159,-0.7713036606069785,0.0
LM,contrast,0.25,13283,-0.7592069707553406,0.0
LM,contrast,0.5,13283,-0.529240391503528,0.0
LM,contrast,0.75,13283,-0.3031993972400819,1.778535551562699e-280
LM,contrast,1.25,13283,0.04278374914681649,8.1099532182045e-07
LM,contrast,1.5,13283,-0.014197448875216383,0.10179535182810123
LM,contrast,2.0,13283,-0.0493147001835301,1.2964076014260526e-08
LM,rotation,2.0,13283,-0.11596697497989011,5.325497898659054e-41
LM,rotation,5.0,13283,-0.32587144701315346,0.0
LM,rotation,10.0,13283,-0.35251647414469767,0.0
LM,rotation,15.0,13283,-0.35703138704896914,0.0
LM,rotation,30.0,13283,-0.37642562105479477,0.0
LM,rotation,60.0,13283,-0.44391538224172356,0.0
LM,rotation,90.0,13283,-0.4965130101814687,0.0
LM,slow_down,0.5,13283,-0.2787125929292961,1.545228968708684e-235
LM,slow_down,0.67,13283,-0.22896579898558408,1.5188080968155903e-157
LM,slow_down,0.8,13283,-0.1982657994588474,7.735667641397107e-118
LM,speed_up,1.25,13283,-0.3339376594013151,0.0
LM,speed_up,1.5,13283,-0.3657914456109134,0.0
LM,speed_up,2.0,13283,-0.37995891329188886,0.0
LM,temporal_reverse,-1.0,13283,-0.37702373018499763,0.0
LM,translation,1.0,13283,-0.4381299699961104,0.0
LM,translation,2.0,13283,-0.43103800321966984,0.0
LM,translation,4.0,13283,-0.41420130619975054,0.0
LM,translation,8.0,13283,-0.4298942920986454,0.0
LM,translation,16.0,13283,-0.538039811299646,0.0
LM,translation,32.0,13283,-0.761554258827849,0.0
LM,translation,48.0,13283,-0.8129032691443376,0.0
RL,contrast,0.25,11232,-0.7989257059406747,0.0
RL,contrast,0.5,11232,-0.5947731560994869,0.0
RL,contrast,0.75,11232,-0.3542173319860015,0.0
RL,contrast,1.25,11232,0.06853442868713698,3.565780059123902e-13
RL,contrast,1.5,11232,0.008597212867156357,0.3622649370124824
RL,contrast,2.0,11232,-0.035978035941306157,0.00013684445872321204
RL,rotation,2.0,11232,-0.15233197695136264,2.744773290717976e-59
RL,rotation,5.0,11232,-0.41434371895980093,0.0
RL,rotation,10.0,11232,-0.43756044256023857,0.0
RL,rotation,15.0,11232,-0.44155427690677135,0.0
RL,rotation,30.0,11232,-0.46319089216270964,0.0
RL,rotation,60.0,11232,-0.5329934265806608,0.0
RL,rotation,90.0,11232,-0.5807589022347305,0.0
RL,slow_down,0.5,11232,-0.16842292615706408,2.9922442888238566e-72
RL,slow_down,0.67,11232,-0.10995684997915424,1.476575533892223e-31
RL,slow_down,0.8,11232,-0.07123816184108664,4.0722789322932213e-14
RL,speed_up,1.25,11232,-0.3323560661137292,8.269625276827743e-288
RL,speed_up,1.5,11232,-0.41600232090034595,0.0
RL,speed_up,2.0,11232,-0.47097042882440393,0.0
RL,temporal_reverse,-1.0,11232,-0.3949888804694321,0.0
RL,translation,1.0,11232,-0.47362946476779866,0.0
RL,translation,2.0,11232,-0.46018702622753255,0.0
RL,translation,4.0,11232,-0.44029194695932977,0.0
RL,translation,8.0,11232,-0.45796013731502366,0.0
RL,translation,16.0,11232,-0.5636217734662198,0.0
RL,translation,32.0,11232,-0.7812655318973171,0.0
RL,translation,48.0,11232,-0.8342493861547335,0.0
V1,contrast,0.25,75497,-0.6982911400457169,0.0
V1,contrast,0.5,75497,-0.3635016579865642,0.0
V1,contrast,0.75,75497,-0.15552200336287578,0.0
V1,contrast,1.25,75497,-0.02634570916299166,4.4844400985978706e-13
V1,contrast,1.5,75497,-0.05446351977025419,1.0591952116361435e-50
V1,contrast,2.0,75497,-0.054202017317673525,3.1208345928394313e-50
V1,rotation,2.0,75497,-0.12583006955868872,5.2951409003967355e-264
V1,rotation,5.0,75497,-0.23532990876704332,0.0
V1,rotation,10.0,75497,-0.25382667593340646,0.0
V1,rotation,15.0,75497,-0.258551255390037,0.0
V1,rotation,30.0,75497,-0.28073420913214026,0.0
V1,rotation,60.0,75497,-0.3603597569581486,0.0
V1,rotation,90.0,75497,-0.4220041796242632,0.0
V1,slow_down,0.5,75497,-0.22004762999464048,0.0
V1,slow_down,0.67,75497,-0.19226877004087445,0.0
V1,slow_down,0.8,75497,-0.17705281455568347,0.0
V1,speed_up,1.25,75497,-0.2672182151548285,0.0
V1,speed_up,1.5,75497,-0.2751417713923683,0.0
V1,speed_up,2.0,75497,-0.25828880310427266,0.0
V1,temporal_reverse,-1.0,75497,-0.29079036966992533,0.0
V1,translation,1.0,75497,-0.40892311648085194,0.0
V1,translation,2.0,75497,-0.4082765039491988,0.0
V1,translation,4.0,75497,-0.40549472128853375,0.0
V1,translation,8.0,75497,-0.4307899465865949,0.0
V1,translation,16.0,75497,-0.537713119007274,0.0
V1,translation,32.0,75497,-0.7767278605874638,0.0
V1,translation,48.0,75497,-0.8238526833443917,0.0
