area,condition,parameter,n,rho,p_value
AL,contrast,0.25,4159,-0.7096725163778541,0.0
LM,contrast,0.25,13283,-0.7389150349165574,0.0
RL,contrast,0.25,11232,-0.7795181094081541,0.0
V1,contrast,0.25,75497,-0.6910642631152865,0.0
AL,rotation,90.0,4159,-0.43752263155214577,4.4317056837685467e-194
LM,rotation,90.0,13283,-0.46490327745563925,0.0
RL,rotation,90.0,11232,-0.5533407652792671,0.0
V1,rotation,90.0,75497,-0.41027090281276474,0.0
AL,translation,48.0,4159,-0.7330005093154286,0.0
LM,translation,48.0,13283,-0.7927476841801783,0.0
RL,translation,48.0,11232,-0.813622505921111,0.0
V1,translation,48.0,75497,-0.8172902165186208,0.0
AL,temporal_reverse,-1.0,4159,-0.41695850835066983,1.1859593816904762e-174
LM,temporal_reverse,-1.0,13283,-0.3549417599576374,0.0
RL,temporal_reverse,-1.0,11232,-0.3741267091097149,0.0
V1,temporal_reverse,-1.0,75497,-0.2830837469540207,0.0
AL,speed_up,2.0,4159,-0.39856909190432865,2.1531626720833254e-158
LM,speed_up,2.0,13283,-0.360439317946314,0.0
RL,speed_up,2.0,11232,-0.452249681100517,0.0
V1,speed_up,2.0,75497,-0.2529891668338342,0.0
AL,slow_down,0.5,4159,-0.3004525197825871,1.6280376361046428e-87
LM,slow_down,0.5,13283,-0.2651470210116074,1.5411289903292458e-212
RL,slow_down,0.5,11232,-0.1571468997010089,5.037106334029531e-63
V1,slow_down,0.5,75497,-0.21431860895669572,0.0
