brain_area,condition,parameter,mean,sd,median,n
AL,contrast,0.25,0.12115378412864723,0.12000628648130329,0.0834266368192829,4159
AL,contrast,0.5,0.36275094375901684,0.12710679491679888,0.3443751581242544,4159
AL,contrast,0.75,0.7356559787200219,0.08677136107966148,0.7325468977310431,4159
AL,contrast,1.25,1.1027586491625443,0.1064752510574279,1.100209444566669,4159
AL,contrast,1.5,1.1049645034715834,0.20317387973077805,1.1018477551200063,4159
AL,contrast,2.0,1.022763924978958,0.33346937091330325,1.0071248696836694,4159
AL,rotation,2.0,1.0001043281085382,0.004716414536743783,1.0005693463677805,4159
AL,rotation,5.0,0.9620940159590637,0.020772060024974746,0.9659861881678944,4159
AL,rotation,10.0,0.85385634050792,0.0641268109222825,0.8626673777444263,4159
AL,rotation,15.0,0.7224986236647648,0.10665145757228373,0.7333982171704887,4159
AL,rotation,30.0,0.3869875088220253,0.15715397689494273,0.3777877881264797,4159
AL,rotation,60.0,0.15519685517156792,0.12015960456666944,0.1279291526476377,4159
AL,rotation,90.0,0.11735414414538349,0.10345964514206814,0.0900703210005573,4159
AL,slow_down,0.5,0.702182787605433,0.13618971729282195,0.6950445530782414,4159
AL,slow_down,0.67,0.8203321099380753,0.10456058838848316,0.8182984518844468,4159
AL,slow_down,0.8,0.8893583768396851,0.0755691841534019,0.8906200761307653,4159
AL,speed_up,1.25,0.9512233672102712,0.04426026490582497,0.9552668056688096,4159
AL,speed_up,1.5,0.9054525508918797,0.07899877927542426,0.9141838399207284,4159
AL,speed_up,2.0,0.8416905460127564,0.12212788333978332,0.8537267733947943,4159
AL,temporal_reverse,-1.0,0.6827364475543255,0.11870756524692909,0.6901348130422187,4159
AL,translation,1.0,0.9797485439917187,0.009381546543451386,0.981067488406911,4159
AL,translation,2.0,0.9305623200982689,0.02927890187825038,0.9342876388635292,4159
AL,translation,4.0,0.7942556260312995,0.0743618024772209,0.8009762123443745,4159
AL,translation,8.0,0.5061476326890159,0.1294111382134209,0.5054269885486657,4159
AL,translation,16.0,0.19893960685488768,0.11600376285340712,0.17705248361891,4159
AL,translation,32.0,0.08923985788145544,0.09636861247345825,0.0597372537110648,4159
AL,translation,48.0,0.07209481553406959,0.09986558316762126,0.038094905702573,4159
LM,contrast,0.25,0.1086380189784305,0.10483954527107162,0.0769186776362885,13283
LM,contrast,0.5,0.3764188439067645,0.12715714879315754,0.3616879447520465,13283
LM,contrast,0.75,0.7619092713734884,0.09380153152994715,0.759494002018328,13283
LM,contrast,1.25,1.063059157353599,0.11637122322079188,1.0675746930263508,13283
LM,contrast,1.5,1.0329264575123058,0.21738844872958987,1.0400665022852025,13283
LM,contrast,2.0,0.9222459386807231,0.3415267768904997,0.9171406198540236,13283
LM,rotation,2.0,0.9986569526701278,0.005520471045234542,0.9992084799636208,13283
LM,rotation,5.0,0.957304242628908,0.02415177411096528,0.9619177572031544,13283
LM,rotation,10.0,0.8403242469331146,0.07238378138064866,0.8515765514250911,13283
LM,rotation,15.0,0.7002773495479183,0.1171669986071982,0.7138615237952401,13283
LM,rotation,30.0,0.35651082486887614,0.15929072965979132,0.3474315635173344,13283
LM,rotation,60.0,0.1343139130669675,0.11338010241561038,0.1033143149876415,13283
LM,rotation,90.0,0.09991982286332715,0.09587263376697798,0.071564803683165,13283
LM,slow_down,0.5,0.7579952738514993,0.14896652371247537,0.7575115094193038,13283
LM,slow_down,0.67,0.8613563553142884,0.11089942062498706,0.8644926969516616,13283
LM,slow_down,0.8,0.9183791316712212,0.07827458425576762,0.9212581349192616,13283
LM,speed_up,1.25,0.950415342786403,0.044551882515377186,0.9555556519830496,13283
LM,speed_up,1.5,0.8944947257394753,0.0799018031209092,0.902621301722237,13283
LM,speed_up,2.0,0.8199682932999673,0.12218772687476047,0.8302609301333141,13283
LM,temporal_reverse,-1.0,0.6812437700544728,0.11601758656117314,0.6880295987493487,13283
LM,translation,1.0,0.9789662612420936,0.009474824547283222,0.9804932618642996,13283
LM,translation,2.0,0.9278588465673652,0.02967408013712402,0.9320077270832088,13283
LM,translation,4.0,0.7858158264092574,0.0758691455767924,0.794369315019775,13283
LM,translation,8.0,0.4862807295670068,0.1300752585491274,0.4864353247519637,13283
LM,translation,16.0,0.1757905523326636,0.10867356098418662,0.155804720895698,13283
LM,translation,32.0,0.071779916008023,0.08304231596244291,0.0463012951691018,13283
LM,translation,48.0,0.05751531184937648,0.0848240109024338,0.0290906165084615,13283
RL,contrast,0.25,0.12741410937242348,0.126523681258398,0.0861477302572472,11232
RL,contrast,0.5,0.36053908435799026,0.13033622776278883,0.3412280523018616,11232
RL,contrast,0.75,0.7350305306950026,0.09008526705207019,0.7334347586833552,11232
RL,contrast,1.25,1.0974075155689733,0.1170515365399326,1.096002486935531,11232
RL,contrast,1.5,1.0952846937151035,0.22615626959337376,1.0908036920687962,11232
RL,contrast,2.0,1.0102632838832797,0.37269168401149694,0.9845680908013308,11232
RL,rotation,2.0,0.9993417656080864,0.0054048680633123,0.9999180035167208,11232
RL,rotation,5.0,0.9588528874790503,0.024058677506099108,0.9629904858625166,11232
RL,rotation,10.0,0.844161894937707,0.07254875044861611,0.8537370811671433,11232
RL,rotation,15.0,0.7065166954144416,0.11843801193881419,0.7167612879578563,11232
RL,rotation,30.0,0.3656271336815741,0.16729297341984892,0.3503359164273675,11232
RL,rotation,60.0,0.14370573575951637,0.12704965400101922,0.10697035048483106,11232
RL,rotation,90.0,0.11018935618020509,0.11089764422054953,0.0756254363511987,11232
RL,slow_down,0.5,0.7069967268919376,0.14823934790025617,0.7004838292054258,11232
RL,slow_down,0.67,0.8171094768474157,0.11321178695982102,0.8172257860932025,11232
RL,slow_down,0.8,0.8848362987459953,0.08197822976559631,0.8864896356599907,11232
RL,speed_up,1.25,0.9540056022065885,0.04356668231564897,0.9589238326719784,11232
RL,speed_up,1.5,0.9114056972972039,0.07728036988469072,0.918423582141501,11232
RL,speed_up,2.0,0.8533610986544363,0.12011934209693383,0.8635053818404981,11232
RL,temporal_reverse,-1.0,0.6949798366706481,0.11711004749814274,0.7022292880787591,11232
RL,translation,1.0,0.980447453303931,0.009448236728856217,0.9820417120179122,11232
RL,translation,2.0,0.9320393435587734,0.03019309119781903,0.9366690870835825,11232
RL,translation,4.0,0.7962233451420548,0.07790300114543941,0.8050113430845687,11232
RL,translation,8.0,0.5089854349729434,0.13633831586934728,0.5093020156857926,11232
RL,translation,16.0,0.2020528219165796,0.12548573809445104,0.17712126284921997,11232
RL,translation,32.0,0.09715527155575444,0.10684044796523437,0.062490138631161804,11232
RL,translation,48.0,0.08229274313132148,0.11016518095243162,0.042772235654834956,11232
V1,contrast,0.25,0.09198180992464573,0.07906447611025287,0.0699679238018778,75497
V1,contrast,0.5,0.41488529045416556,0.1318967659992867,0.4036382623479437,75497
V1,contrast,0.75,0.8045861098692368,0.1032348632186293,0.8020077526389014,75497
V1,contrast,1.25,1.0223038815160934,0.12275644367272498,1.0292422242374346,75497
V1,contrast,1.5,0.9682793506018752,0.2208910191794571,0.980353445431678,75497
V1,contrast,2.0,0.8507896990961822,0.33537943592964037,0.8548500122436341,75497
V1,rotation,2.0,0.9971054867295662,0.005882593518030886,0.9977142287247396,75497
V1,rotation,5.0,0.9558232864636483,0.02455214963135079,0.9605293014435812,75497
V1,rotation,10.0,0.837554809700727,0.07336375202355806,0.8492293048876274,75497
V1,rotation,15.0,0.6953056929542029,0.11874483649746764,0.7089995030144178,75497
V1,rotation,30.0,0.3453995580485165,0.1599499683922342,0.334346663010396,75497
V1,rotation,60.0,0.12216477171940175,0.11066508708690341,0.0892930109138882,75497
V1,rotation,90.0,0.08947358206579649,0.09418697891345769,0.0578522190573032,75497
V1,slow_down,0.5,0.8307468105234332,0.14769272193159858,0.8299878152856391,75497
V1,slow_down,0.67,0.9161421516877313,0.10878446368381778,0.917340334551567,75497
V1,slow_down,0.8,0.9571635407609068,0.07617451300434705,0.9586389066163498,75497
V1,speed_up,1.25,0.9462722031388616,0.04478495038771769,0.9507632256901618,75497
V1,speed_up,1.5,0.8750008238972052,0.08168485411380477,0.8827984351142854,75497
V1,speed_up,2.0,0.7836970745965776,0.12646054862492942,0.7921581256836666,75497
V1,temporal_reverse,-1.0,0.6839803078191057,0.10733666439133194,0.6930686295741096,75497
V1,translation,1.0,0.974376073347592,0.011779116467809346,0.9766685397368864,75497
V1,translation,2.0,0.9137518997252273,0.03599204677545302,0.9200904354104028,75497
V1,translation,4.0,0.7497911986899174,0.08895422434690506,0.761571406218611,75497
V1,translation,8.0,0.42576781633262306,0.13668206192573898,0.4255148580204922,75497
V1,translation,16.0,0.12976867803361344,0.08999947965692076,0.1113240213970937,75497
V1,translation,32.0,0.044217662344425084,0.05527002673953028,0.0276112921379498,75497
V1,translation,48.0,0.03334163004393422,0.055622696339157444,0.0155872148290969,75497
